ACON, XLK
RZLT, XLV
SAVA, XLV
SCLX, XLV
SEEL, XLV
SEM, XLV
SGHT, XLV
SGTX, XLV
SHPH, XLV
SIGA, XLV
SINT, XLV
SLS, XLV
SMFL, XLV
SMTI, XLV
SNDX, XLV
SNGX, XLV
SNOA, XLV
SQL, XLV
SQZ, XLV
SRPT, XLV
STSS, XLV
SYBX, XLV
SYK, XLV
TBIO, XLV
TCRT, XLV
TENX, XLV
TGTX, XLV
TIVC, XLV
TLIS, XLV
TNON, XLV
TNXP, XLV
TOVX, XLV
TRVI, XLV
TSVT, XLV
UNCY, XLV
UPXI, XLV
USPH, XLV
UTHR, XLV
VAXX, XLV
VCEL, XLV
VCNX, XLV
VERO, XLV
VOR, XLV
VRDN, XLV
VTGN, XLV
VYNE, XLV
XAIR, XLV
XLO, XLV
XOMA, XLV
ZIMV, XLV
ZIVO, XLV
ZYNE, XLV
AE, XLE
AMPY, XLE
AROC, XLE
BNMV, XLE
BSM, XLE
CEI, XLE
CKX, XLE
EP, XLE
EPM, XLE
GBR, XLE
HCC, XLE
HPK, XLE
KLXE, XLE
KNTK, XLE
KRP, XLE
MXC, XLE
NFG, XLE
PARR, XLE
PDCE, XLE
PED, XLE
PLUG, XLE
POWL, XLE
RNGR, XLE
VIVK, XLE
VTNR, XLE
AFBI, XLF
AIZ, XLF
ALTI, XLF
APCX, XLF
APLM, XLF
ASRV, XLF
AVTA, XLF
BAER, XLF
BCOW, XLF
BGCP, XLF
BHF, XLF
BLAC, XLF
BOC, XLF
BTCS, XLF
CCAP, XLF
COF, XLF
CWD, XLF
ECCW, XLF
ECCX, XLF
EQH, XLF
FAF, XLF
FBNC, XLF
FCRX, XLF
FHI, XLF
FICV, XLF
FINV, XLF
FSBW, XLF
GDST, XLF
GREE, XLF
HCI, XLF
HFBL, XLF
HGBL, XLF
HIE, XLF
HMPT, XLF
HTFB, XLF
IBKR, XLF
IBOC, XLF
ICE, XLF
ISRL, XLF
LC, XLF
LMFA, XLF
MAIN, XLF
MBCN, XLF
MCVT, XLF
MNSB, XLF
NBHC, XLF
NCPL, XLF
NIC, XLF
NRIM, XLF
OPY, XLF
OVLY, XLF
PBBK, XLF
PBHC, XLF
PKBK, XLF
PRK, XLF
QQQX, XLF
RCAC, XLF
RQI, XLF
SAR, XLF
SAZ, XLF
SDIG, XLF
SFBC, XLF
SIEB, XLF
STC, XLF
SWKH, XLF
TBMC, XLF
THW, XLF
VALU, XLF
WHF, XLF
ARLO, XLP
DNUT, XLP
EDBL, XLP
FLO, XLP
KO, XLP
MDLZ, XLP
MDVL, XLP
RAD, XLP
WMK, XLP
WTER, XLP
CLFD, XLU
DUK, XLU
DZSI, XLU
HE, XLU
MKUL, XLU
OIG, XLU
OKE, XLU
OPTT, XLU
ORA, XLU
PEG, XLU
SJW, XLU
UTL, XLU
WTRG, XLU
YORW, XLU
ACU, XLY
ACVA, XLY
ADT, XLY
AIN, XLY
AIRT, XLY
AKAM, XLY
ALLE, XLY
AMEH, XLY
AMN, XLY
APDN, XLY
APRN, XLY
ASH, XLY
AVY, XLY
AYRO, XLY
BBSI, XLY
BDL, XLY
BIRD, XLY
BLNK, XLY
BSQR, XLY
CAR, XLY
CASY, XLY
CCOI, XLY
CENT, XLY
CHD, XLY
CHH, XLY
CLAR, XLY
CLX, XLY
CODI, XLY
COLM, XLY
COMS, XLY
CPSH, XLY
CRGE, XLY
CRMT, XLY
CSV, XLY
CUEN, XLY
CVCO, XLY
DIBS, XLY
DLPN, XLY
DLTR, XLY
DPZ, XLY
DSS, XLY
EBAY, XLY
EEIQ, XLY
EGIO, XLY
EL, XLY
EVTV, XLY
FAT, XLY
FC, XLY
FDX, XLY
FLL, XLY
FWRD, XLY
GNK, XLY
GNLN, XLY
GNTX, XLY
GNUS, XLY
GRBK, XLY
GRPN, XLY
GSAT, XLY
HCKT, XLY
HD, XLY
HNST, XLY
HOUR, XLY
HQI, XLY
HTZ, XLY
HVT, XLY
IDEX, XLY
IPW, XLY
ISDR, XLY
IZEA, XLY
JEWL, XLY
JOUT, XLY
KFRC, XLY
KFY, XLY
KMX, XLY
LAD, XLY
LCII, XLY
LEGH, XLY
LIVE, XLY
LOCO, XLY
LVO, XLY
LYV, XLY
MAR, XLY
MCRI, XLY
MED, XLY
MGOL, XLY
MGRC, XLY
MLR, XLY
MPU, XLY
MTN, XLY
MULN, XLY
NDLS, XLY
NKE, XLY
NXU, XLY
OESX, XLY
OSG, XLY
OSTK, XLY
PALT, XLY
PATK, XLY
PBPB, XLY
PCAR, XLY
PENN, XLY
PEV, XLY
PFSW, XLY
PG, XLY
PIXY, XLY
PKG, XLY
PTLO, XLY
PZZA, XLY
RCKY, XLY
RCMT, XLY
REBN, XLY
RENT, XLY
RIVN, XLY
RLGT, XLY
ROST, XLY
RPM, XLY
SBUX, XLY
SCI, XLY
SCL, XLY
SCVL, XLY
SCWO, XLY
SGLY, XLY
SHW, XLY
SHYF, XLY
SKX, XLY
SNBR, XLY
SWAG, XLY
SYY, XLY
TBLT, XLY
THRM, XLY
TPX, XLY
UDMY, XLY
UGRO, XLY
UNF, XLY
VAC, XLY
VERB, XLY
VSEC, XLY
VTSI, XLY
VVX, XLY
WEX, XLY
WHLM, XLY
WISH, XLY
WMT, XLY
WOR, XLY
WORX, XLY
YUM, XLY
MSB, XLB
RYAM, XLB
AIRI, VIS
AKYA, VIS
AMOT, VIS
AMTX, VIS
ASTC, VIS
AVAV, VIS
BC, VIS
BNGO, VIS
CE, VIS
CEAD, VIS
DCO, VIS
EKSO, VIS
EYPT, VIS
FIP, VIS
FRZA, VIS
FUL, VIS
GEVO, VIS
GIC, VIS
GLST, VIS
GPRE, VIS
HCCI, VIS
HLIO, VIS
HTGM, VIS
HUN, VIS
IESC, VIS
IIIN, VIS
IOSP, VIS
KNX, VIS
KTOS, VIS
LNN, VIS
LUNR, VIS
LWLG, VIS
MAS, VIS
MPX, VIS
MWA, VIS
MYE, VIS
NPO, VIS
NTIC, VIS
PGTI, VIS
PRPO, VIS
REX, VIS
RGLD, VIS
RKDA, VIS
ROCK, VIS
ROG, VIS
SMID, VIS
SNES, VIS
TGNA, VIS
THMO, VIS
TMST, VIS
TRN, VIS
UAVS, VIS
UPS, VIS
USX, VIS
VGAS, VIS
WAT, VIS
WERN, VIS
WGO, VIS
WLFC, VIS
WLKP, VIS
WNC, VIS
ALPP, VIS
AMPG, VIS
ATEX, VIS
MITQ, VIS
NXPL, VIS
SONM, VIS
ACRE, XLRE
CSR, XLRE
FCPT, XLRE
GIPR, XLRE
HR, XLRE
HTIA, XLRE
IHT, XLRE
INTG, XLRE
LOAN, XLRE
LXP, XLRE
MDRR, XLRE
NTST, XLRE
PMT, XLRE
RC, XLRE
RCB, XLRE
SACH, XLRE
SCCB, XLRE
SCCD, XLRE
SCCF, XLRE
SRC, XLRE
STWD, XLRE
VINO, XLRE
